ll	lw	pl	pw
0.5844060129248451	3.192601060933026	1.4780496022059497	0.10	Iris-setosa
0.9994998179638099	3.523792689139494	0.4563449187055368	0.17	Iris-setosa	
4.13068813751615	4.2968233715815165	1.4983690106634642	0.40	Iris-setosa	
5.118888790900774	2.4956233742558345	1.0019473903985732	0.19	Iris-setosa	
1.4426330369777107	0.8672864068751075	1.8381876440351435	0.03	Iris-setosa	
4.54238629250907	1.8167268828467917	0.13222749195488434	0.13	Iris-setosa	
0.1761917468215176	0.980402204690791	1.7129371676303806	0.58	Iris-setosa	
0.5605018488708868	1.528012677005012	1.6256404751132465	0.37	Iris-setosa	
3.1346300438932904	2.784452755992922	0.206508929625221	0.32	Iris-setosa	
3.2280771860487425	3.9951453719608705	0.2937477017208662	0.53	Iris-setosa	
0.4070586516453438	2.3762523688910373	1.4990320323423096	0.00	Iris-setosa	
2.829873534083422	0.3971093173876563	1.682868675203855	0.14	Iris-setosa	
5.1503352576078045	3.335599120908161	1.2696447056817972	0.47	Iris-setosa	
2.174295586467201	3.3280300520088573	1.8020934692869193	0.38	Iris-setosa	
0.9963688992810686	1.603450940958063	1.8707444204062953	0.26	Iris-setosa	
4.522284324226543	0.7481899514595834	0.3616412217020162	0.22	Iris-setosa	
1.116858592680082	4.089765419437132	1.7452003740798137	0.50	Iris-setosa	
4.20840981180761	2.4201764547872435	1.7805479894784715	0.24	Iris-setosa	
2.8274971486736655	4.09693964192809	0.03301312202691733	0.37	Iris-setosa	
5.261193970017014	3.466098386503014	0.4976690531540874	0.08	Iris-setosa	
0.06367235384303145	0.5447891121386417	0.7889056797610994	0.00	Iris-setosa	
1.979696637092897	3.181810693739922	0.794979773397607	0.16	Iris-setosa	
2.9096945164011627	3.8830007154875603	1.7073301189751346	0.59	Iris-setosa	
1.8733941021048113	2.7440815746490275	0.21715945035743073	0.28	Iris-setosa	
3.2135848442057022	3.4770003297413625	0.2263746488792573	0.59	Iris-setosa	
4.622383464970817	3.346643596109158	1.046442218446431	0.26	Iris-setosa	
0.7694524886460835	4.353170198026846	0.9570548227651479	0.22	Iris-setosa	
2.96494187765018	1.0010622195782402	0.766720262087845	0.32	Iris-setosa	
2.9994943325172434	0.28935434306126967	1.2594741871719386	0.05	Iris-setosa	
3.269473545453061	1.7383624480327131	0.3258823800487708	0.48	Iris-setosa	
